technical_know_how,personal_traits,social_characteristics,motivating_factors
Well-trained,Control freak,"Insufficient social
support",Need to Control others
Smart,Vengeful,Low self-worth,"Enhancing self-
worth"
Opportunists,Aggressive,Broken homes/families,Experimentation
Well-networked,Determined,Reinforcement available,"Greed (easy, quick money)"
Sharp (intelligent),Gullible,Lack Social skills,Monetary Gain
Well-networked,Loner,Low self-worth,Manipulate others
Well trained,Chaotic state of mind,"Insufficient social
support",Anger
Creative,Insensitive,Need to outsmart others,Political support
Skilful,Secretive,Socially inept,Political beliefs
Bully,Conviction in Violence,Socially inept,Political beliefs
Creative,Passionate,Socially inept,Intolerance
Opportunists,"Psychologically
Deviant",Anti-establishment,Manipulate others
Sharp (intelligent),Incited,Marginalised,Thrill-seeking
Well-trained,Insensitive,Social dissatisfaction,Thrill-seeking
Focussed,Inhuman Psyche,Intolerance to diversity of opinion,"Enhancing self-
worth"
Skilful,"Psychologically
Deviant",Lack Social skills,Risk tolerance
Skilful,Secretive,Reinforcement available,Emotions
Well trained,Coward,Inferiority complex,Disregard for law
Smart,Chaotic state of mind,Mass-destruction,Manipulate others
Skilful,Strong-willed,Radical,Curiosity
Resourceful,Strong-willed,Rationalization,"Enhancing self-
worth"
Well-organized,Coward,Broken homes/families,Emotions
Goal oriented,Incited,Anti-state,"Concealed
existence"
Sharp (intelligent),Conviction in Violence,Anti-state,"Greed (easy, quick money)"
Bully,Passionate,Marginalised,Need to Control others
Focussed,Incited,Intolerance to diversity of opinion,Disregard for law
Well-organized,Selfish,Lack Social skills,Experimentation
Strategic planners,Immoral/ Unethical,Misguided,Disregard for law
Well-networked,Inhuman Psyche,"Insufficient social
support","Enhancing self-
worth"
Well-organized,Impatient,Low self-worth,Plain boredom
Strategic planners,Psychiatric conditions,Intolerance to diversity of opinion,Lust
Skilful,Coward,Inferiority complex,"Greed (easy, quick money)"
Well-trained,Conviction in Violence,Low self-worth,Curiosity
Opportunists,Aggressive,Rebellious,"Greed (easy, quick money)"
Well trained,Chaotic state of mind,Radical,Curiosity
Well-networked,Coward,Anti-social,Emotions
Sharp (intelligent),Emotional,Anti-state,Political beliefs
Well-networked,Control freak,Brain-washed,Risk tolerance
Creative,Coward,Lack Social skills,Experimentation
Strategic planners,Chaotic state of mind,Inferiority complex,Curiosity
Opportunists,Loner,Mass-destruction,Monetary Gain
Resourceful,Secretive,"Insufficient social
support",Experimentation
Creative,Gullible,Mass-destruction,Intolerance
Bully,Selfish,Marginalised,"Enhancing self-
worth"
Bully,Conviction in Violence,Inferiority complex,Need to Control others
Creative,Immoral/ Unethical,Low self-worth,Curiosity
Well-organized,Determined,Lack Social skills,Plain boredom
Sharp (intelligent),Gullible,Need to outsmart others,"Concealed
existence"
Sharp (intelligent),Risk-taker,Broken homes/families,Manipulate others
Opportunists,Conviction in Violence,Reinforcement available,"Enhancing self-
worth"
Well-organized,Loner,Brain-washed,Lust
Strategic planners,Chaotic state of mind,Radical,Disregard for law
Goal oriented,Coward,Misguided,Curiosity
Sharp (intelligent),Inhuman Psyche,Mass-destruction,Disregard for law
Bully,Conviction in Violence,Brain-washed,Anger
Skilful,Emotional,Mass-destruction,Emotions
Sharp (intelligent),Vengeful,Anti-social,"Greed (easy, quick money)"
Smart,Coward,Intolerance to diversity of opinion,Need to Control others
Creative,Coercive,Broken homes/families,"Greed (easy, quick money)"
Well-trained,Chaotic state of mind,Rationalization,Political support
Well-networked,Determined,Social dissatisfaction,No fear of punishment
Focussed,Conviction in Violence,Need to outsmart others,Revenge
Sharp (intelligent),Vengeful,Low self-worth,"Greed (easy, quick money)"
Strategic planners,Conviction in Violence,Mass-destruction,Thrill-seeking
Well-organized,Inhuman Psyche,Need to outsmart others,"Enhancing self-
worth"
Focussed,Insensitive,Reinforcement available,Anger
Focussed,Inhuman Psyche,Lack Social skills,Manipulate others
Well-trained,Impatient,Lack Social skills,Political beliefs
Well trained,Chaotic state of mind,Reinforcement available,"Religious
fundamentalism"
Resourceful,Chaotic state of mind,Intolerance to diversity of opinion,Experimentation
Opportunists,Secretive,Need to outsmart others,Monetary Gain
Well-networked,Identity crisis,Unlawful,Political support
Smart,Vengeful,Anti-state,Thrill-seeking
Creative,"Psychologically
Deviant",Anti-establishment,Lust
Well-networked,Identity crisis,Marginalised,"Concealed
existence"
Focussed,Aggressive,Mass-destruction,Risk tolerance
Creative,Incited,Mass-destruction,Disregard for law
Well-organized,Secretive,Brain-washed,No fear of punishment
Sharp (intelligent),Control freak,Intolerance to diversity of opinion,Curiosity
Resourceful,Coercive,Anti-social,Anger
Well-organized,Loner,Rationalization,"Enhancing self-
worth"
Strategic planners,Insensitive,Marginalised,Thrill-seeking
Creative,Coward,Intolerance to diversity of opinion,Risk tolerance
Opportunists,Coward,Low self-worth,Intolerance
Strategic planners,Determined,Socially inept,Plain boredom
Goal oriented,Strong-willed,Low self-worth,Revenge
Smart,"Psychologically
Deviant",Rebellious,Curiosity
Well-trained,Loner,Unlawful,"Enhancing self-
worth"
Goal oriented,Determined,Reinforcement available,Intolerance
Opportunists,Immoral/ Unethical,Brain-washed,"Concealed
existence"
Focussed,Aggressive,Brain-washed,Disregard for law
Creative,Vengeful,Marginalised,Risk tolerance
Well-networked,Identity crisis,Broken homes/families,Experimentation
Well trained,Inhuman Psyche,Brain-washed,Political beliefs
Opportunists,Coercive,Anti-establishment,Thrill-seeking
Sharp (intelligent),Vengeful,Low self-worth,Revenge
Well-organized,Coercive,Radical,Intolerance
Well-trained,Psychiatric conditions,Reinforcement available,Curiosity
Opportunists,Insensitive,Socially inept,Disregard for law
Resourceful,Insensitive,Broken homes/families,No fear of punishment
Focussed,Selfish,Inferiority complex,Political beliefs
Goal oriented,Gullible,Lack Social skills,"Religious
fundamentalism"
Well-organized,Incited,Anti-social,Revenge
Well-trained,Vengeful,Brain-washed,Thrill-seeking
Resourceful,Coward,Inferiority complex,Monetary Gain
Creative,Strong-willed,Social dissatisfaction,Risk tolerance
Goal oriented,Identity crisis,Unlawful,Intolerance
Smart,Incited,Anti-establishment,Revenge
Well-networked,Incited,Anti-establishment,Anger
Well-trained,Coercive,Mass-destruction,Thrill-seeking
Well-networked,Chaotic state of mind,Broken homes/families,"Religious
fundamentalism"
Well-trained,Control freak,Anti-state,Anger
Focussed,Strong-willed,Intolerance to diversity of opinion,Revenge
Bully,Selfish,Intolerance to diversity of opinion,Manipulate others
Sharp (intelligent),Coercive,Rationalization,Intolerance
Skilful,Strong-willed,Socially inept,Thrill-seeking
Focussed,Inhuman Psyche,"Insufficient social
support",Anger
Bully,Emotional,Radical,Disregard for law
Sharp (intelligent),Insensitive,Rationalization,"Enhancing self-
worth"
Creative,Coercive,Need to outsmart others,Plain boredom
Resourceful,Aggressive,Need to outsmart others,Experimentation
Strategic planners,Identity crisis,Broken homes/families,Revenge
Strategic planners,Chaotic state of mind,Brain-washed,"Enhancing self-
worth"
Focussed,Incited,Anti-establishment,Political support
Focussed,Immoral/ Unethical,Marginalised,Thrill-seeking
Creative,Aggressive,"Insufficient social
support","Religious
fundamentalism"
Well trained,Insensitive,Radical,Manipulate others
Focussed,Passionate,Inferiority complex,Political beliefs
Resourceful,Identity crisis,Need to outsmart others,"Greed (easy, quick money)"
Opportunists,Chaotic state of mind,Anti-state,Experimentation
Creative,Determined,Brain-washed,"Enhancing self-
worth"
Opportunists,Vengeful,Rationalization,Plain boredom
Goal oriented,Impatient,Radical,Thrill-seeking
Well-organized,Vengeful,Intolerance to diversity of opinion,Manipulate others
Well-networked,Chaotic state of mind,Need to outsmart others,No fear of punishment
Goal oriented,Aggressive,"Insufficient social
support",Emotions
Sharp (intelligent),Coward,Rationalization,Revenge
Focussed,Passionate,Intolerance to diversity of opinion,Need to Control others
Focussed,Immoral/ Unethical,Low self-worth,Revenge
Creative,Incited,Radical,No fear of punishment
Well-trained,Coercive,Rebellious,Manipulate others
Smart,Passionate,Inferiority complex,Disregard for law
Smart,Passionate,Radical,Political support
Bully,Vengeful,Unlawful,Thrill-seeking
Well trained,Psychiatric conditions,Anti-establishment,No fear of punishment
Strategic planners,Conviction in Violence,"Insufficient social
support","Religious
fundamentalism"
Strategic planners,Passionate,Social dissatisfaction,Monetary Gain
Resourceful,Insensitive,Rebellious,Lust
Well trained,Secretive,Radical,Manipulate others
Smart,Secretive,Social dissatisfaction,Political beliefs
Focussed,Coercive,Radical,Risk tolerance
Focussed,Identity crisis,Social dissatisfaction,Manipulate others
Well-organized,Inhuman Psyche,Anti-social,Political support
Focussed,Strong-willed,Misguided,Disregard for law
Well-trained,Determined,Radical,Revenge
Opportunists,Immoral/ Unethical,"Insufficient social
support",Political beliefs
Skilful,Secretive,Anti-state,No fear of punishment
Resourceful,Control freak,Anti-social,Political support
Bully,Conviction in Violence,Reinforcement available,Lust
Focussed,"Psychologically
Deviant",Low self-worth,Emotions
Well-trained,Conviction in Violence,Intolerance to diversity of opinion,Risk tolerance
Well-networked,Chaotic state of mind,Anti-state,Curiosity
Well trained,"Psychologically
Deviant",Anti-social,Manipulate others
Strategic planners,Selfish,Anti-establishment,"Religious
fundamentalism"
Bully,Secretive,Radical,No fear of punishment
Well trained,Coward,Unlawful,Intolerance
Smart,Passionate,Anti-establishment,"Greed (easy, quick money)"
Well-trained,Psychiatric conditions,Radical,Curiosity
Well trained,Loner,Brain-washed,Revenge
Bully,Coward,Need to outsmart others,Monetary Gain
Well-networked,Control freak,Unlawful,Revenge
Bully,Psychiatric conditions,Intolerance to diversity of opinion,Experimentation
Strategic planners,Coercive,Lack Social skills,Experimentation
Well-trained,Gullible,Anti-social,Plain boredom
Bully,Risk-taker,Unlawful,Need to Control others
Smart,Gullible,Low self-worth,Plain boredom
Focussed,Passionate,Rebellious,"Enhancing self-
worth"
Goal oriented,Gullible,Marginalised,No fear of punishment
Well-networked,Gullible,Lack Social skills,"Concealed
existence"
Well-trained,Identity crisis,Marginalised,Disregard for law
Skilful,Incited,Anti-state,"Religious
fundamentalism"
Strategic planners,Loner,Rationalization,Revenge
Goal oriented,Aggressive,Rationalization,Thrill-seeking
Bully,Control freak,Intolerance to diversity of opinion,Thrill-seeking
Sharp (intelligent),Loner,Mass-destruction,Revenge
Well-trained,Determined,Unlawful,"Religious
fundamentalism"
Smart,Control freak,Socially inept,Political support
Strategic planners,Loner,Mass-destruction,Anger
Well trained,Control freak,"Insufficient social
support",Monetary Gain
Skilful,Chaotic state of mind,Need to outsmart others,Lust
Focussed,Aggressive,Social dissatisfaction,Manipulate others
Smart,Strong-willed,Lack Social skills,Intolerance
Creative,Vengeful,Rebellious,"Concealed
existence"
Creative,Impatient,Rationalization,"Greed (easy, quick money)"
Opportunists,Impatient,Need to outsmart others,Thrill-seeking
Opportunists,Vengeful,Lack Social skills,Disregard for law
Resourceful,"Psychologically
Deviant",Marginalised,Lust
Bully,Strong-willed,Brain-washed,Intolerance
Sharp (intelligent),Loner,"Insufficient social
support",Lust
Skilful,Immoral/ Unethical,Broken homes/families,Intolerance
Well-trained,Control freak,Anti-social,"Religious
fundamentalism"
Sharp (intelligent),Secretive,Brain-washed,Revenge
Resourceful,Vengeful,Low self-worth,Risk tolerance
Opportunists,Coercive,Social dissatisfaction,"Religious
fundamentalism"
Opportunists,Insensitive,Marginalised,"Greed (easy, quick money)"
Focussed,Control freak,Lack Social skills,Political beliefs
Resourceful,Psychiatric conditions,Social dissatisfaction,Anger
Opportunists,Selfish,Lack Social skills,Revenge
Skilful,"Psychologically
Deviant",Anti-social,Revenge
Smart,Coward,Lack Social skills,Emotions
Well-networked,Insensitive,Need to outsmart others,Monetary Gain
Sharp (intelligent),Impatient,Mass-destruction,Experimentation
Creative,Incited,Need to outsmart others,"Greed (easy, quick money)"
Strategic planners,Identity crisis,Inferiority complex,Emotions
Well-organized,Control freak,Low self-worth,Anger
Creative,Risk-taker,Unlawful,Political support
Creative,Control freak,Social dissatisfaction,Risk tolerance
Well trained,Emotional,Lack Social skills,Revenge
Well-trained,Emotional,Mass-destruction,Emotions
Smart,Determined,Lack Social skills,Need to Control others
Sharp (intelligent),Risk-taker,Socially inept,Curiosity
Well-organized,Insensitive,Rebellious,Risk tolerance
Goal oriented,"Psychologically
Deviant",Social dissatisfaction,Intolerance
Focussed,"Psychologically
Deviant",Rationalization,Political support
Bully,Identity crisis,Anti-establishment,"Enhancing self-
worth"
Focussed,Emotional,"Insufficient social
support",Curiosity
Well-trained,Identity crisis,Anti-social,Curiosity
Well trained,Coercive,Socially inept,"Concealed
existence"
Strategic planners,Determined,Inferiority complex,"Greed (easy, quick money)"
Well trained,Risk-taker,Rationalization,"Greed (easy, quick money)"
Creative,Psychiatric conditions,Marginalised,Lust
Well-networked,Immoral/ Unethical,Low self-worth,"Enhancing self-
worth"
Goal oriented,Control freak,Lack Social skills,Anger
Well trained,Psychiatric conditions,Need to outsmart others,Monetary Gain
Creative,Selfish,Unlawful,"Enhancing self-
worth"
